country,year,tumor_deaths,digestive_deaths,tumor_rank
巴布亚新几内亚,2001,2772.193778915289,618.242769654781,4.0
巴拉圭,2001,3710.731621783478,1047.2348077651354,2.0
巴拿马,2001,2215.1167466513803,542.767076154875,2.0
巴林岛,2001,321.87008551366216,129.89970023422973,2.0
巴西,2001,156297.91665939608,51592.11107687556,2.0
布基纳法索,2001,4771.877282686264,4299.621973295454,10.0
布隆迪,2001,2954.363274488081,2073.5448735732525,11.0
希腊,2001,29491.898172665115,2833.456818193096,2.0
帕劳共和国,2001,25.846315346841315,4.842078277461272,2.0
库克群岛,2001,19.194789883708804,3.8232128213681755,3.0
德国,2001,230312.2346074701,42633.803951877504,2.0
意大利,2001,172475.93309951358,25810.363625712547,2.0
所罗门群岛,2001,270.661819469536,176.5203436102671,4.0
托克劳群岛,2001,1.446574360353136,0.5431229876270784,3.0
拉脱维亚,2001,5934.126557174775,1042.884074694748,2.0
挪威,2001,11796.52865336681,1419.830084592898,2.0
捷克共和国,2001,29744.041760203447,4374.56937299526,2.0
摩尔多瓦共和国,2001,5229.1812458438735,4355.212494224466,2.0
摩洛哥,2001,11029.250911652987,8231.817469965143,3.0
摩纳哥公国,2001,172.6243645474919,21.16743053211552,2.0
文莱达鲁萨兰国,2001,229.4218842911394,33.819113625112536,2.0
斐济,2001,510.56435725958687,126.06536514298058,3.0
斯威士兰,2001,629.0150594561703,328.28710895466537,6.0
斯洛伐克,2001,12329.5367839808,2666.234415031593,2.0
斯洛文尼亚,2001,5332.091180323616,1299.9276780848156,2.0
斯里兰卡,2001,12009.232782266998,6769.587808311057,2.0
新加坡,2001,4516.010798768576,359.65465248590226,2.0
新西兰,2001,8070.81417980925,718.3251228272952,2.0
日本,2001,332086.8149270927,41234.36067621094,1.0
智利,2001,20893.39508315005,6195.917638521466,2.0
朝鲜民主主义人民共和国,2001,23201.103213575694,5225.82344513919,2.0
柬埔寨,2001,5186.868910487768,5006.185674676137,6.0
格林纳达,2001,147.14572012402965,32.081068212595255,2.0
格陵兰,2001,144.2909677023505,20.761931083070145,1.0
格鲁吉亚,2001,6792.32190707936,1887.9986504207543,2.0
比利时,2001,30108.278556935576,4987.561376584126,2.0
毛里塔尼亚,2001,1343.2620182087385,814.0838644676253,5.0
毛里求斯,2001,1007.5417390734871,426.63415193900363,3.0
汤加,2001,89.76413007343251,23.406807076407233,2.0
沙特阿拉伯,2001,7507.982383174425,3446.40959510344,3.0
法国,2001,171620.7588044116,27546.71057050335,1.0
波兰,2001,99547.31708685755,16048.32592628288,2.0
